register_abbreviation
BEF
FAIN
VNDS
FAIK
IND
AKM
UDDA
FAM
HUST
FAHU
IEPE
VNDS
IDA
RAS
PUOB
INDH
INDK
IEPE
SYSI
SSSY
SYST
SHSS
SSNV
LPR_ADM
LPR_BES
LPR_DIAG
LPR_OPR
LPR_SKSOP
LPR_SKSUBE
PRIV_ADM
PRIV_DIAG
PRIV_SKSUBE
PRIV_SKSOPR
UAF_ADM
UAF_BES
UAF_DIAG
UAF_OPR
UAF_SKSOPR
DOD
DODSAASG
LMDB
LPR_PSYK
LABKA
BYSTRB
